Time;Channel A
(us);(mV)

-10,00149973;-2,23917317
-10,00049973;-2,23917317
-9,99949973;0,00000000
-9,99849973;1,11958659
-9,99749973;2,23917317
-9,99649973;3,35875964
-9,99549973;4,48142195
-9,99449973;5,60100842
-9,99349973;6,72059488
-9,99249973;7,84018135
-9,99149973;8,96284389
-9,99049973;10,08243084
-9,98949973;11,20201683
-9,98849973;12,32467842
-9,98749973;13,44426537
-9,98649973;14,56385231
-9,98549973;15,68343925
-9,98449973;16,80610085
-9,98349973;17,92568779
-9,98249973;19,04527283
-9,98149973;20,16793633
-9,98049973;21,28752327
-9,97949973;22,40711021
-9,97849973;23,52669716
-9,97749973;23,52669716
-9,97649973;24,64935684
-9,97549973;25,76894569
-9,97449973;26,88853073
-9,97349973;26,88853073
-9,97249973;28,01119423
-9,97149973;29,13078117
-9,97049973;29,13078117
-9,96949973;29,13078117
-9,96849973;29,13078117
-9,96749973;30,25036621
-9,96649973;30,25036621
-9,96549973;31,36995316
-9,96449973;31,36995316
-9,96349973;31,36995316
-9,96249973;31,36995316
-9,96149973;31,36995316
-9,96049973;31,36995316
-9,95949973;30,25036621
-9,95849973;30,25036621
-9,95749973;31,36995316
-9,95649973;32,49261856
-9,95549973;31,36995316
-9,95449973;30,25036621
-9,95349973;31,36995316
-9,95249973;31,36995316
-9,95149973;30,25036621
-9,95049973;30,25036621
-9,94949973;29,13078117
-9,94849973;30,25036621
-9,94749973;30,25036621
-9,94649973;29,13078117
-9,94549973;28,01119423
-9,94449973;29,13078117
-9,94349973;29,13078117
-9,94249973;28,01119423
-9,94149973;26,88853073
-9,94049973;28,01119423
-9,93949973;28,01119423
-9,93849973;26,88853073
-9,93749973;25,76894569
-9,93649973;25,76894569
-9,93549973;25,76894569
-9,93449973;25,76894569
-9,93349973;24,64935684
-9,93249973;24,64935684
-9,93149973;23,52669716
-9,93049973;23,52669716
-9,92949973;23,52669716
-9,92849973;22,40711021
-9,92749973;21,28752327
-9,92649973;21,28752327
-9,92549973;21,28752327
-9,92449973;20,16793633
-9,92349973;19,04527283
-9,92249973;19,04527283
-9,92149973;17,92568779
-9,92049973;17,92568779
-9,91949973;16,80610085
-9,91849973;15,68343925
-9,91749973;15,68343925
-9,91649973;14,56385231
-9,91549973;13,44426537
-9,91449973;12,32467842
-9,91349973;11,20201683
-9,91249973;11,20201683
-9,91149973;10,08243084
-9,91049973;8,96284389
-9,90949973;6,72059488
-9,90849973;6,72059488
-9,90749973;5,60100842
-9,90649973;4,48142195
-9,90549973;3,35875964
-9,90449973;2,23917317
-9,90349973;1,11958659
-9,90249973;0,00000000
-9,90149973;-1,11958659
-9,90049973;-2,23917317
-9,89949973;-3,35875964
-9,89849973;-4,48142195
-9,89749973;-5,60100842
-9,89649973;-6,72059488
-9,89549973;-8,96284389
-9,89449973;-8,96284389
-9,89349973;-10,08243084
-9,89249973;-12,32467842
-9,89149973;-13,44426537
-9,89049973;-13,44426537
-9,88949973;-14,56385231
-9,88849973;-16,80610085
-9,88749973;-17,92568779
-9,88649973;-19,04527283
-9,88549973;-19,04527283
-9,88449973;-20,16793633
-9,88349973;-22,40711021
-9,88249973;-23,52669716
-9,88149973;-23,52669716
-9,88049973;-24,64935684
-9,87949973;-25,76894569
-9,87849973;-26,88853073
-9,87749973;-26,88853073
-9,87649973;-28,01119423
-9,87549973;-28,01119423
-9,87449973;-28,01119423
-9,87349973;-29,13078117
-9,87249973;-29,13078117
-9,87149973;-29,13078117
-9,87049973;-29,13078117
-9,86949973;-30,25036621
-9,86849973;-30,25036621
-9,86749973;-30,25036621
-9,86649973;-30,25036621
-9,86549973;-30,25036621
-9,86449973;-30,25036621
-9,86349973;-30,25036621
-9,86249973;-30,25036621
-9,86149973;-29,13078117
-9,86049973;-29,13078117
-9,85949973;-29,13078117
-9,85849973;-29,13078117
-9,85749973;-29,13078117
-9,85649973;-29,13078117
-9,85549973;-29,13078117
-9,85449973;-29,13078117
-9,85349973;-28,01119423
-9,85249973;-26,88853073
-9,85149973;-28,01119423
-9,85049973;-26,88853073
-9,84949973;-26,88853073
-9,84849973;-25,76894569
-9,84749973;-26,88853073
-9,84649973;-25,76894569
-9,84549973;-25,76894569
-9,84449973;-25,76894569
-9,84349973;-24,64935684
-9,84249973;-24,64935684
-9,84149973;-24,64935684
-9,84049973;-24,64935684
-9,83949973;-23,52669716
-9,83849973;-23,52669716
-9,83749973;-23,52669716
-9,83649973;-23,52669716
-9,83549973;-23,52669716
-9,83449973;-23,52669716
-9,83349973;-23,52669716
-9,83249973;-23,52669716
-9,83149973;-23,52669716
-9,83049973;-23,52669716
-9,82949973;-22,40711021
-9,82849973;-23,52669716
-9,82749973;-22,40711021
-9,82649973;-22,40711021
-9,82549973;-22,40711021
-9,82449973;-21,28752327
-9,82349973;-20,16793633
-9,82249973;-20,16793633
-9,82149973;-19,04527283
-9,82049973;-17,92568779
-9,81949973;-17,92568779
-9,81849973;-17,92568779
-9,81749973;-16,80610085
-9,81649973;-15,68343925
-9,81549973;-15,68343925
-9,81449973;-15,68343925
-9,81349973;-14,56385231
-9,81249973;-13,44426537
-9,81149973;-12,32467842
-9,81049973;-11,20201683
-9,80949973;-11,20201683
-9,80849973;-10,08243084
-9,80749973;-7,84018135
-9,80649973;-7,84018135
-9,80549973;-6,72059488
-9,80449973;-5,60100842
-9,80349973;-4,48142195
-9,80249973;-3,35875964
-9,80149973;-2,23917317
-9,80049973;-1,11958659
-9,79949973;0,00000000
-9,79849973;1,11958659
-9,79749973;2,23917317
-9,79649973;3,35875964
-9,79549973;4,48142195
-9,79449973;5,60100842
-9,79349973;6,72059488
-9,79249973;7,84018135
-9,79149973;8,96284389
-9,79049973;10,08243084
-9,78949973;12,32467842
-9,78849973;12,32467842
-9,78749973;13,44426537
-9,78649973;14,56385231
-9,78549973;15,68343925
-9,78449973;16,80610085
-9,78349973;17,92568779
-9,78249973;19,04527283
-9,78149973;20,16793633
-9,78049973;21,28752327
-9,77949973;22,40711021
-9,77849973;22,40711021
-9,77749973;23,52669716
-9,77649973;24,64935684
-9,77549973;25,76894569
-9,77449973;26,88853073
-9,77349973;26,88853073
-9,77249973;28,01119423
-9,77149973;29,13078117
-9,77049973;29,13078117
-9,76949973;29,13078117
-9,76849973;29,13078117
-9,76749973;30,25036621
-9,76649973;30,25036621
-9,76549973;30,25036621
-9,76449973;30,25036621
-9,76349973;31,36995316
-9,76249973;31,36995316
-9,76149973;31,36995316
-9,76049973;31,36995316
-9,75949973;31,36995316
-9,75849973;31,36995316
-9,75749973;32,49261856
-9,75649973;31,36995316
-9,75549973;31,36995316
-9,75449973;31,36995316
-9,75349973;31,36995316
-9,75249973;31,36995316
-9,75149973;30,25036621
-9,75049973;30,25036621
-9,74949973;30,25036621
-9,74849973;30,25036621
-9,74749973;30,25036621
-9,74649973;29,13078117
-9,74549973;29,13078117
-9,74449973;29,13078117
-9,74349973;29,13078117
-9,74249973;28,01119423
-9,74149973;28,01119423
-9,74049973;28,01119423
-9,73949973;26,88853073
-9,73849973;26,88853073
-9,73749973;26,88853073
-9,73649973;25,76894569
-9,73549973;25,76894569
-9,73449973;25,76894569
-9,73349973;25,76894569
-9,73249973;24,64935684
-9,73149973;23,52669716
-9,73049973;23,52669716
-9,72949973;23,52669716
-9,72849973;22,40711021
-9,72749973;22,40711021
-9,72649973;21,28752327
-9,72549973;20,16793633
-9,72449973;20,16793633
-9,72349973;19,04527283
-9,72249973;17,92568779
-9,72149973;17,92568779
-9,72049973;17,92568779
-9,71949973;16,80610085
-9,71849973;15,68343925
-9,71749973;14,56385231
-9,71649973;14,56385231
-9,71549973;13,44426537
-9,71449973;12,32467842
-9,71349973;11,20201683
-9,71249973;11,20201683
-9,71149973;10,08243084
-9,71049973;8,96284389
-9,70949973;7,84018135
-9,70849973;6,72059488
-9,70749973;5,60100842
-9,70649973;4,48142195
-9,70549973;3,35875964
-9,70449973;2,23917317
-9,70349973;1,11958659
-9,70249973;0,00000000
-9,70149973;-1,11958659
-9,70049973;-2,23917317
-9,69949973;-3,35875964
-9,69849973;-4,48142195
-9,69749973;-5,60100842
-9,69649973;-6,72059488
-9,69549973;-8,96284389
-9,69449973;-10,08243084
-9,69349973;-10,08243084
-9,69249973;-11,20201683
-9,69149973;-13,44426537
-9,69049974;-14,56385231
-9,68949974;-14,56385231
-9,68849974;-15,68343925
-9,68749974;-17,92568779
-9,68649974;-19,04527283
-9,68549974;-20,16793633
-9,68449974;-20,16793633
-9,68349974;-21,28752327
-9,68249974;-23,52669716
-9,68149974;-23,52669716
-9,68049974;-24,64935684
-9,67949974;-25,76894569
-9,67849974;-26,88853073
-9,67749974;-26,88853073
-9,67649974;-26,88853073
-9,67549974;-28,01119423
-9,67449974;-28,01119423
-9,67349974;-29,13078117
-9,67249974;-29,13078117
-9,67149974;-29,13078117
-9,67049974;-29,13078117
-9,66949974;-30,25036621
-9,66849974;-30,25036621
-9,66749974;-30,25036621
-9,66649974;-30,25036621
-9,66549974;-30,25036621
-9,66449974;-30,25036621
-9,66349974;-30,25036621
-9,66249974;-30,25036621
-9,66149974;-29,13078117
-9,66049974;-29,13078117
-9,65949974;-30,25036621
-9,65849974;-29,13078117
-9,65749974;-29,13078117
-9,65649974;-29,13078117
-9,65549974;-29,13078117
-9,65449974;-28,01119423
-9,65349974;-28,01119423
-9,65249974;-28,01119423
-9,65149974;-28,01119423
-9,65049974;-26,88853073
-9,64949974;-26,88853073
-9,64849974;-25,76894569
-9,64749974;-25,76894569
-9,64649974;-25,76894569
-9,64549974;-25,76894569
-9,64449974;-24,64935684
-9,64349974;-24,64935684
-9,64249974;-24,64935684
-9,64149974;-24,64935684
-9,64049974;-24,64935684
-9,63949974;-24,64935684
-9,63849974;-23,52669716
-9,63749974;-24,64935684
-9,63649974;-23,52669716
-9,63549974;-23,52669716
-9,63449974;-23,52669716
-9,63349974;-23,52669716
-9,63249974;-23,52669716
-9,63149974;-23,52669716
-9,63049974;-23,52669716
-9,62949974;-22,40711021
-9,62849974;-22,40711021
-9,62749974;-22,40711021
-9,62649974;-22,40711021
-9,62549974;-21,28752327
-9,62449974;-20,16793633
-9,62349974;-20,16793633
-9,62249974;-20,16793633
-9,62149974;-19,04527283
-9,62049974;-17,92568779
-9,61949974;-17,92568779
-9,61849974;-17,92568779
-9,61749974;-16,80610085
-9,61649974;-15,68343925
-9,61549974;-15,68343925
-9,61449974;-15,68343925
-9,61349974;-14,56385231
-9,61249974;-13,44426537
-9,61149974;-12,32467842
-9,61049974;-11,20201683
-9,60949974;-11,20201683
-9,60849974;-10,08243084
-9,60749974;-8,96284389
-9,60649974;-7,84018135
-9,60549974;-6,72059488
-9,60449974;-5,60100842
-9,60349974;-4,48142195
-9,60249974;-3,35875964
-9,60149974;-2,23917317
-9,60049974;-1,11958659
-9,59949974;0,00000000
-9,59849974;1,11958659
-9,59749974;2,23917317
-9,59649974;3,35875964
-9,59549974;4,48142195
-9,59449974;5,60100842
-9,59349974;6,72059488
-9,59249974;7,84018135
-9,59149974;8,96284389
-9,59049974;10,08243084
-9,58949974;11,20201683
-9,58849974;12,32467842
-9,58749974;13,44426537
-9,58649974;14,56385231
-9,58549974;15,68343925
-9,58449974;16,80610085
-9,58349974;17,92568779
-9,58249974;19,04527283
-9,58149974;20,16793633
-9,58049974;21,28752327
-9,57949974;22,40711021
-9,57849974;22,40711021
-9,57749974;23,52669716
-9,57649974;24,64935684
-9,57549974;25,76894569
-9,57449974;26,88853073
-9,57349974;26,88853073
-9,57249974;28,01119423
-9,57149974;28,01119423
-9,57049974;29,13078117
-9,56949974;29,13078117
-9,56849974;29,13078117
-9,56749974;30,25036621
-9,56649974;30,25036621
-9,56549974;31,36995316
-9,56449974;30,25036621
-9,56349974;30,25036621
-9,56249974;31,36995316
-9,56149974;31,36995316
-9,56049974;31,36995316
-9,55949974;31,36995316
-9,55849974;31,36995316
-9,55749974;31,36995316
-9,55649974;31,36995316
-9,55549974;31,36995316
-9,55449974;30,25036621
-9,55349974;31,36995316
-9,55249974;31,36995316
-9,55149974;30,25036621
-9,55049974;30,25036621
-9,54949974;30,25036621
-9,54849974;30,25036621
-9,54749974;30,25036621
-9,54649974;29,13078117
-9,54549974;29,13078117
-9,54449974;29,13078117
-9,54349974;29,13078117
-9,54249974;28,01119423
-9,54149974;28,01119423
-9,54049974;26,88853073
-9,53949974;26,88853073
-9,53849974;26,88853073
-9,53749974;26,88853073
-9,53649974;25,76894569
-9,53549974;25,76894569
-9,53449974;25,76894569
-9,53349974;25,76894569
-9,53249974;24,64935684
-9,53149974;24,64935684
-9,53049974;23,52669716
-9,52949974;23,52669716
-9,52849974;22,40711021
-9,52749974;21,28752327
-9,52649974;21,28752327
-9,52549974;21,28752327
-9,52449974;20,16793633
-9,52349974;19,04527283
-9,52249974;19,04527283
-9,52149974;17,92568779
-9,52049974;17,92568779
-9,51949974;16,80610085
-9,51849974;15,68343925
-9,51749974;14,56385231
-9,51649974;14,56385231
-9,51549974;13,44426537
-9,51449974;12,32467842
-9,51349974;11,20201683
-9,51249974;10,08243084
